time,HipCenter,HipCenterCoordinates.x,HipCenterCoordinates.y,HipCenterCoordinates.z,Spine,SpineCoordinates.x,SpineCoordinates.y,SpineCoordinates.z,ShoulderCenter,ShoulderLeftCoordinates.x,ShoulderLeftCoordinates.y,ShoulderLeftCoordinates.zHead,HeadCoordinates.x,HeadCoordinates.y,HeadCoordinates.z,ShoulderLeft,ShoulderLeftCoordinates.x,ShoulderLeftCoordinates.y,ShoulderLeftCoordinates.z,ElbowLeft,ElbowLeftCoordinates.x,ElbowLeftCoordinates.y,ElbowLeftCoordinates.z,WristLeft,WristLeftCoordinates.x,WristLeftCoordinates.y,WristLeftCoordinates.z,HandLeft,HandLeftCoordinates.x,HandLeftCoordinates.y,HandLeftCoordinates.z,ShoulderRight,ShoulderRightCoordinates.x,ShoulderRightCoordinates.y,ShoulderRightCoordinates.z,ElbowRight,ElbowRightCoordinates.x,ShoulderRightCoordinates.y,ShoulderRightCoordinates.z,WristRight,WristRightCoordinates.x,WristRightCoordinates.y,WristRightCoordinates.z,HandRight,WristRightCoordinates.x,WristRightCoordinates.y,WristRightCoordinates.z,HipLeft,HipLeftCoordinates.x,HipLeftCoordinates.y,HipLeftCoordinates.z,KneeLeft,KneeLeftCoordinates.x,KneeLeftCoordinates.y,KneeLeftCoordinates.z,AnkleLeft,AnkleLeftCoordinates.x,AnkleLeftCoordinates.y,AnkleLeftCoordinates.z,FootLeft,FootLeftCoordinates.x,FootLeftCoordinates.y,FootLeftCoordinates.z,HipRight,HipRightCoordinates.x,HipRightCoordinates.y,HipRightCoordinates.z,KneeRight,KneeRightCoordinates.x,KneeRightCoordinates.y,KneeRightCoordinates.z,AnkleRight,AnkleRightCoordinates.x,AnkleRightCoordinates.y,AnkleRightCoordinates.z,FootRight,FootRightCoordinates.x,FootRightCoordinates.y,FootRightCoordinates.z
8.011,0,-0.005,0.844,1.474,1,-0.006,0.883,1.471,2,-0.162,0.992,1.455,3,-0.010,1.272,1.449,4,-0.162,0.992,1.455,5,-0.321,0.962,1.345,6,-0.449,0.920,1.208,7,-0.503,0.895,1.143,8,0.157,1.022,1.496,9,0.375,1.022,1.496,10,0.553,1.033,1.538,10,0.553,1.033,1.538,12,-0.076,0.767,1.469,13,-0.305,0.980,1.455,14,-0.143,0.745,1.488,15,-0.139,0.694,1.454,16,0.067,0.779,1.482,17,0.326,1.020,1.573,18,0.589,1.046,1.557,19,0.693,1.025,1.554
8.020,0,-0.005,0.844,1.474,1,-0.006,0.883,1.471,2,-0.162,0.992,1.455,3,-0.010,1.272,1.449,4,-0.162,0.992,1.455,5,-0.321,0.962,1.345,6,-0.449,0.920,1.208,7,-0.503,0.895,1.143,8,0.157,1.022,1.496,9,0.375,1.022,1.496,10,0.553,1.033,1.538,10,0.553,1.033,1.538,12,-0.076,0.767,1.469,13,-0.305,0.980,1.455,14,-0.143,0.745,1.488,15,-0.139,0.694,1.454,16,0.067,0.779,1.482,17,0.326,1.020,1.573,18,0.589,1.046,1.557,19,0.693,1.025,1.554
8.029,0,-0.005,0.844,1.474,1,-0.006,0.883,1.471,2,-0.162,0.992,1.455,3,-0.010,1.272,1.449,4,-0.162,0.992,1.455,5,-0.321,0.962,1.345,6,-0.449,0.920,1.208,7,-0.503,0.895,1.143,8,0.157,1.022,1.496,9,0.375,1.022,1.496,10,0.553,1.033,1.538,10,0.553,1.033,1.538,12,-0.076,0.767,1.469,13,-0.305,0.980,1.455,14,-0.143,0.745,1.488,15,-0.139,0.694,1.454,16,0.067,0.779,1.482,17,0.326,1.020,1.573,18,0.589,1.046,1.557,19,0.693,1.025,1.554
8.040,0,-0.005,0.844,1.474,1,-0.006,0.883,1.471,2,-0.162,0.992,1.455,3,-0.010,1.272,1.449,4,-0.162,0.992,1.455,5,-0.321,0.962,1.345,6,-0.449,0.920,1.208,7,-0.503,0.895,1.143,8,0.157,1.022,1.496,9,0.375,1.022,1.496,10,0.553,1.033,1.538,10,0.553,1.033,1.538,12,-0.076,0.767,1.469,13,-0.305,0.980,1.455,14,-0.143,0.745,1.488,15,-0.139,0.694,1.454,16,0.067,0.779,1.482,17,0.326,1.020,1.573,18,0.589,1.046,1.557,19,0.693,1.025,1.554
8.050,0,-0.011,0.839,1.488,1,-0.011,0.878,1.485,2,-0.167,0.986,1.472,3,-0.020,1.267,1.462,4,-0.167,0.986,1.472,5,-0.324,0.950,1.353,6,-0.448,0.913,1.210,7,-0.501,0.887,1.143,8,0.149,1.017,1.507,9,0.371,1.017,1.507,10,0.548,1.034,1.537,10,0.548,1.034,1.537,12,-0.080,0.763,1.482,13,-0.320,0.952,1.461,14,-0.165,0.745,1.499,15,-0.136,0.696,1.459,16,0.062,0.775,1.494,17,0.283,1.018,1.586,18,0.589,1.046,1.557,19,0.681,1.077,1.502
8.059,0,-0.011,0.839,1.488,1,-0.011,0.878,1.485,2,-0.167,0.986,1.472,3,-0.020,1.267,1.462,4,-0.167,0.986,1.472,5,-0.324,0.950,1.353,6,-0.448,0.913,1.210,7,-0.501,0.887,1.143,8,0.149,1.017,1.507,9,0.371,1.017,1.507,10,0.548,1.034,1.537,10,0.548,1.034,1.537,12,-0.080,0.763,1.482,13,-0.320,0.952,1.461,14,-0.165,0.745,1.499,15,-0.136,0.696,1.459,16,0.062,0.775,1.494,17,0.283,1.018,1.586,18,0.589,1.046,1.557,19,0.681,1.077,1.502
8.085,0,-0.018,0.841,1.500,1,-0.018,0.879,1.498,2,-0.176,0.993,1.503,3,-0.028,1.263,1.476,4,-0.176,0.993,1.503,5,-0.325,0.942,1.369,6,-0.452,0.902,1.214,7,-0.502,0.877,1.145,8,0.135,1.017,1.523,9,0.363,1.017,1.523,10,0.541,1.036,1.534,10,0.541,1.036,1.534,12,-0.095,0.767,1.502,13,-0.364,0.928,1.439,14,-0.106,0.732,1.486,15,-0.128,0.682,1.494,16,0.056,0.778,1.502,17,0.286,1.014,1.576,18,0.613,1.036,1.546,19,0.653,1.035,1.470
8.099,0,-0.018,0.841,1.500,1,-0.018,0.879,1.498,2,-0.176,0.993,1.503,3,-0.028,1.263,1.476,4,-0.176,0.993,1.503,5,-0.325,0.942,1.369,6,-0.452,0.902,1.214,7,-0.502,0.877,1.145,8,0.135,1.017,1.523,9,0.363,1.017,1.523,10,0.541,1.036,1.534,10,0.541,1.036,1.534,12,-0.095,0.767,1.502,13,-0.364,0.928,1.439,14,-0.106,0.732,1.486,15,-0.128,0.682,1.494,16,0.056,0.778,1.502,17,0.286,1.014,1.576,18,0.613,1.036,1.546,19,0.653,1.035,1.470
8.112,0,-0.018,0.841,1.500,1,-0.018,0.879,1.498,2,-0.176,0.993,1.503,3,-0.028,1.263,1.476,4,-0.176,0.993,1.503,5,-0.325,0.942,1.369,6,-0.452,0.902,1.214,7,-0.502,0.877,1.145,8,0.135,1.017,1.523,9,0.363,1.017,1.523,10,0.541,1.036,1.534,10,0.541,1.036,1.534,12,-0.095,0.767,1.502,13,-0.364,0.928,1.439,14,-0.106,0.732,1.486,15,-0.128,0.682,1.494,16,0.056,0.778,1.502,17,0.286,1.014,1.576,18,0.613,1.036,1.546,19,0.653,1.035,1.470
8.124,0,-0.024,0.843,1.509,1,-0.024,0.880,1.508,2,-0.180,0.996,1.519,3,-0.036,1.260,1.492,4,-0.180,0.996,1.519,5,-0.321,0.923,1.407,6,-0.458,0.890,1.218,7,-0.506,0.865,1.148,8,0.126,1.018,1.534,9,0.357,1.018,1.534,10,0.536,1.036,1.532,10,0.536,1.036,1.532,12,-0.104,0.769,1.513,13,-0.371,0.932,1.434,14,-0.070,0.723,1.480,15,-0.123,0.671,1.522,16,0.051,0.782,1.507,17,0.269,1.018,1.576,18,0.615,1.031,1.541,19,0.654,1.034,1.459
