time;HipCenter;HipCenterCoordinates.x;HipCenterCoordinates.y;HipCenterCoordinates.z;Spine;SpineCoordinates.x;SpineCoordinates.y;SpineCoordinates.z;ShoulderCenter;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.zHead;HeadCoordinates.x;HeadCoordinates.y;HeadCoordinates.z;ShoulderLeft;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;ElbowLeft;ElbowLeftCoordinates.x;ElbowLeftCoordinates.y;ElbowLeftCoordinates.z;WristLeft;WristLeftCoordinates.x;WristLeftCoordinates.y;WristLeftCoordinates.z;HandLeft;HandLeftCoordinates.x;HandLeftCoordinates.y;HandLeftCoordinates.z;ShoulderRight;ShoulderRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;ElbowRight;ElbowRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;WristRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HandRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HipLeft;HipLeftCoordinates.x;HipLeftCoordinates.y;HipLeftCoordinates.z;KneeLeft;KneeLeftCoordinates.x;KneeLeftCoordinates.y;KneeLeftCoordinates.z;AnkleLeft;AnkleLeftCoordinates.x;AnkleLeftCoordinates.y;AnkleLeftCoordinates.z;FootLeft;FootLeftCoordinates.x;FootLeftCoordinates.y;FootLeftCoordinates.z;HipRight;HipRightCoordinates.x;HipRightCoordinates.y;HipRightCoordinates.z;KneeRight;KneeRightCoordinates.x;KneeRightCoordinates.y;KneeRightCoordinates.z;AnkleRight;AnkleRightCoordinates.x;AnkleRightCoordinates.y;AnkleRightCoordinates.z;FootRight;FootRightCoordinates.x;FootRightCoordinates.y;FootRightCoordinates.z)
16.261;0;-0.070;0.898;1.278;1;-0.057;0.945;1.301;2;-0.194;1.081;1.368;3;-0.093;1.373;1.304;4;-0.194;1.081;1.368;5;-0.267;1.013;1.537;6;-0.031;1.023;1.384;7;0.026;0.979;1.362;8;0.060;1.085;1.237;9;0.247;1.085;1.237;10;0.323;0.856;1.161;10;0.323;0.856;1.161;12;-0.127;0.835;1.296;13;-0.331;0.703;1.437;14;-0.444;0.697;1.196;15;-0.450;0.695;1.176;16;-0.014;0.836;1.249;17;-0.265;0.722;1.374;18;0.083;0.843;1.272;19;-0.011;0.810;1.265
16.270;0;-0.065;0.897;1.280;1;-0.052;0.944;1.305;2;-0.191;1.081;1.373;3;-0.089;1.374;1.315;4;-0.191;1.081;1.373;5;-0.265;1.016;1.540;6;-0.022;1.030;1.383;7;0.030;0.973;1.362;8;0.061;1.087;1.241;9;0.253;1.087;1.241;10;0.322;0.860;1.160;10;0.322;0.860;1.160;12;-0.122;0.834;1.297;13;-0.317;0.682;1.432;14;-0.454;0.706;1.174;15;-0.502;0.691;1.147;16;-0.010;0.837;1.250;17;-0.262;0.735;1.376;18;0.083;0.843;1.272;19;-0.003;0.813;1.259
16.278;0;-0.065;0.897;1.280;1;-0.052;0.944;1.305;2;-0.191;1.081;1.373;3;-0.089;1.374;1.315;4;-0.191;1.081;1.373;5;-0.265;1.016;1.540;6;-0.022;1.030;1.383;7;0.030;0.973;1.362;8;0.061;1.087;1.241;9;0.253;1.087;1.241;10;0.322;0.860;1.160;10;0.322;0.860;1.160;12;-0.122;0.834;1.297;13;-0.317;0.682;1.432;14;-0.454;0.706;1.174;15;-0.502;0.691;1.147;16;-0.010;0.837;1.250;17;-0.262;0.735;1.376;18;0.083;0.843;1.272;19;-0.003;0.813;1.259
16.285;0;-0.065;0.897;1.280;1;-0.052;0.944;1.305;2;-0.191;1.081;1.373;3;-0.089;1.374;1.315;4;-0.191;1.081;1.373;5;-0.265;1.016;1.540;6;-0.022;1.030;1.383;7;0.030;0.973;1.362;8;0.061;1.087;1.241;9;0.253;1.087;1.241;10;0.322;0.860;1.160;10;0.322;0.860;1.160;12;-0.122;0.834;1.297;13;-0.317;0.682;1.432;14;-0.454;0.706;1.174;15;-0.502;0.691;1.147;16;-0.010;0.837;1.250;17;-0.262;0.735;1.376;18;0.083;0.843;1.272;19;-0.003;0.813;1.259
16.296;0;-0.065;0.897;1.280;1;-0.052;0.944;1.305;2;-0.191;1.081;1.373;3;-0.089;1.374;1.315;4;-0.191;1.081;1.373;5;-0.265;1.016;1.540;6;-0.022;1.030;1.383;7;0.030;0.973;1.362;8;0.061;1.087;1.241;9;0.253;1.087;1.241;10;0.322;0.860;1.160;10;0.322;0.860;1.160;12;-0.122;0.834;1.297;13;-0.317;0.682;1.432;14;-0.454;0.706;1.174;15;-0.502;0.691;1.147;16;-0.010;0.837;1.250;17;-0.262;0.735;1.376;18;0.083;0.843;1.272;19;-0.003;0.813;1.259
16.303;0;-0.061;0.896;1.282;1;-0.047;0.943;1.309;2;-0.189;1.080;1.376;3;-0.084;1.376;1.325;4;-0.189;1.080;1.376;5;-0.262;1.017;1.541;6;-0.020;1.014;1.383;7;0.024;0.963;1.374;8;0.063;1.089;1.245;9;0.256;1.089;1.245;10;0.327;0.869;1.153;10;0.327;0.869;1.153;12;-0.117;0.833;1.298;13;-0.306;0.732;1.480;14;-0.455;0.708;1.172;15;-0.515;0.686;1.141;16;-0.006;0.837;1.251;17;-0.261;0.744;1.376;18;0.083;0.843;1.272;19;-0.004;0.812;1.255
16.313;0;-0.061;0.896;1.282;1;-0.047;0.943;1.309;2;-0.189;1.080;1.376;3;-0.084;1.376;1.325;4;-0.189;1.080;1.376;5;-0.262;1.017;1.541;6;-0.020;1.014;1.383;7;0.024;0.963;1.374;8;0.063;1.089;1.245;9;0.256;1.089;1.245;10;0.327;0.869;1.153;10;0.327;0.869;1.153;12;-0.117;0.833;1.298;13;-0.306;0.732;1.480;14;-0.455;0.708;1.172;15;-0.515;0.686;1.141;16;-0.006;0.837;1.251;17;-0.261;0.744;1.376;18;0.083;0.843;1.272;19;-0.004;0.812;1.255
16.320;0;-0.061;0.896;1.282;1;-0.047;0.943;1.309;2;-0.189;1.080;1.376;3;-0.084;1.376;1.325;4;-0.189;1.080;1.376;5;-0.262;1.017;1.541;6;-0.020;1.014;1.383;7;0.024;0.963;1.374;8;0.063;1.089;1.245;9;0.256;1.089;1.245;10;0.327;0.869;1.153;10;0.327;0.869;1.153;12;-0.117;0.833;1.298;13;-0.306;0.732;1.480;14;-0.455;0.708;1.172;15;-0.515;0.686;1.141;16;-0.006;0.837;1.251;17;-0.261;0.744;1.376;18;0.083;0.843;1.272;19;-0.004;0.812;1.255
16.327;0;-0.056;0.895;1.285;1;-0.042;0.942;1.313;2;-0.186;1.079;1.378;3;-0.080;1.378;1.333;4;-0.186;1.079;1.378;5;-0.259;1.020;1.542;6;-0.028;1.015;1.388;7;0.035;0.984;1.361;8;0.064;1.091;1.249;9;0.255;1.091;1.249;10;0.331;0.876;1.147;10;0.331;0.876;1.147;12;-0.113;0.832;1.300;13;-0.292;0.743;1.495;14;-0.457;0.694;1.245;15;-0.485;0.682;1.170;16;0.000;0.837;1.253;17;-0.256;0.752;1.374;18;0.083;0.843;1.272;19;0.003;0.815;1.250
16.335;0;-0.056;0.895;1.285;1;-0.042;0.942;1.313;2;-0.186;1.079;1.378;3;-0.080;1.378;1.333;4;-0.186;1.079;1.378;5;-0.259;1.020;1.542;6;-0.028;1.015;1.388;7;0.035;0.984;1.361;8;0.064;1.091;1.249;9;0.255;1.091;1.249;10;0.331;0.876;1.147;10;0.331;0.876;1.147;12;-0.113;0.832;1.300;13;-0.292;0.743;1.495;14;-0.457;0.694;1.245;15;-0.485;0.682;1.170;16;0.000;0.837;1.253;17;-0.256;0.752;1.374;18;0.083;0.843;1.272;19;0.003;0.815;1.250
